Identificador de comentari,Identificador de canal,Marca de temps de creació del comentari,Preu,Identificador de comentari principal,Identificador de vídeo,Text del comentari
UgxvNj2tC1rEk8ozT3B4AaABAg,UCuT0aX5yMtR_AcWZzakuAxQ,2024-02-02T03:31:48.694699+00:00,0,,z6Ys54DdIKI,"{""text"":""Ei vengo para participar en un sorteo: SORTEO-2. El vídeo es bueno aunque requiere tiempo.""}"
Ugxi6s9Cm2bfkWvAve14AaABAg,UCuT0aX5yMtR_AcWZzakuAxQ,2024-01-18T23:27:36.984959+00:00,0,,MDvS8KJAOrM,"{""text"":""Hola, llevo pocos días con este juego y en estos he comprado la poción de curación mayor en el mercado 2 veces. En la habilidad de esta poción dice que el tiempo de espera es de 1m 25s, pero luego de tomar dicha poción tengo que volver a comprarla (de ahí a que compre 2 veces la misma). Aunque aparezca un cierto tiempo de espera realmente al ser una consumición tengo que volver a comprarla, no? Si es así, entiendo que el tiempo de espera se refiere en caso de que tenga más de una misma poción en la ranura 1, no?""}"
UgxlA2twwl2Jdc3TdcF4AaABAg.9ucOoSxgY3J9vzknTan3fe,UCuT0aX5yMtR_AcWZzakuAxQ,2023-10-18T00:09:18.774301+00:00,0,UgxlA2twwl2Jdc3TdcF4AaABAg,Ds9kYWYF8jo,"{""text"":""Aún que no lo parezca lo he escrito yo jajaja. Luego de la pregunta que me hiciste me demore cerca de un día en mandar la respuesta y sobretodo a repasar los apuntes de la asignatura de aprendizaje automático. Por cierto encontré tú vídeo porqué en una oferta de trabajo me pedían pasar esta prueba de linkedin - aún no la he hecho""},{""text"":""@@caracruz13"",""mention"":{""externalChannelId"":""UCsEY6deWp9U87T7Xcawn2Lw""}}"
UgxlA2twwl2Jdc3TdcF4AaABAg.9ucOoSxgY3J9vervpkBN1V,UCuT0aX5yMtR_AcWZzakuAxQ,2023-10-09T21:27:34.2142+00:00,0,UgxlA2twwl2Jdc3TdcF4AaABAg,Ds9kYWYF8jo,"{""text"":""Cuanto más pequeño sea el sesgo más se encertan las predicciones, pero más en compromiso se pone la varianza, es decir, el augmento de esta en el intento de pasar por todos los puntos. Por ende, cuanta más varianza haya el sesgo será más pequeño y por lo tanto será más difícil que nuevos ejemplos puedan ser predichos debido a esta alta varianza sujeta a solo los ejemplos anteriores (siempre que estos ejemplos varíen) que como se ha comentado esto provocará la reducción del sesgo. Pero justo en el caso o ejemplo planteado ocurre un poco de ambas cosas, pues ni hay varianza (una línea horizontal) en un intento de no sobreajuste exagerado y esto mismo también provoca que el sesgo sea alto – y que justo los puntos no estén en la horizontal que sí provocaría un sesgo bajo o nulo. En un planteamiento (con un conjunto de contextos e ideas) más determinista, es decir, que se conoce / tiene una muestra representativa o hay la intención de generar esta junto con la intención de querer relacionar estas dos variables, sí surge la necesidad de reducir el sesgo. Pues claramente se dispone y a lo largo del proyecto se querrá disponer de la información suficiente para describir ese planteamiento, es decir, prácticamente determinarlo o intentar resolverlo directamente (de forma analítica). Muchos de estos casos usan un conjunto de ciencias exactas y experimentales (Matemáticas, Estadística, Física, Investigación Operativa) para resolver problemas de estas mismas áreas o otras de aplicación como Sociología, Economía, Medicina, etc. En lugar de basarse en experiencias individuales se busca ejemplos que puedan reproducirse y por lo tanto ser experimentados de forma muy parecida por otros individuos dando importancia a las teorías (demostraciones) y las experimentaciones. Estas implican un tiempo para crear y asentar ciertas teorías siendo por ejemplo la Química una de las más sólidas en este aspecto. Más adelante la aplicación de la estadística en muchos campos con la gran ayuda de la informática (cuando los computadores empiezan a ser buenos en el cálculo de coma flotante) hace posible la implementación de muchas teorías. La resolución de estos problemas suele implicar un conjunto de recursos y aspectos requeridos. Como el tiempo, número de problemas, que realmente exista (el problema y el modelo o conjuntos que lo resuelven) y se puede resolver; y no menos importante que sea difícil de resolver o interpretar. Estos aspectos casi siempre implican más tiempo y dinero. El caso dado se encasilla en un problema de aprendizaje automático por lo que primero será difícil garantizar que los ejemplos usados (los puntos) sean representativos y por lo tanto como se ha dicho al inicio pueden surgir nuevos ejemplos más dispares y de forma recurrente no como pasaría en un caso típico de estadística que estos ejemplos se tratarían como outliers pues serían puntuales ya que se hubiera garantizado la calidad de las muestras o encuestas más que el problema residiría en un contexto menos cambiante – sino pues probablemente se reformularía el modelo. Es importante hacer una comparativa entre la ciencia de datos y otros planteamientos clásicos – incluyendo la estadística. Respecto la técnica, por un lado, los métodos clásicos suelen estar basados en modelos teóricos existentes y por otro lado los de la ciencia de datos se basan en datos usando modelos de aprendizaje para encontrar modelos observacionales. En relación con la validación los modelos de ciencia de datos se realizan a través de métricas de evaluación en cambio los otros suelen estar validados por academias. Finalmente, los modelos clásicos suelen depender de la existencia de un modelo previo o necesidad de investigar el fenómeno y validar el modelo, en cambio en la ciencia de datos se requiere de la existencia de observaciones y pruebas de múltiples técnicas de aprendizaje para encontrar un modelo temporal basado en observaciones. Justamente la falta o ausencia de sesgo es lo que en un modelo matemático determinista se comprendería como certeza, en cambio en el campo como la estadística o la investigación operativa se buscaría que esta fuera baja en el proceso de hallar un modelo sólido estadístico. Pero justo esto en la ciencia de datos es lo que se debe de vigilar, pues si el sesgo es muy reducido queda muy poco margen a que nuevos conceptos puedan ser introducidos en los modelos de aprendizaje en el momento que se introduzcan nuevos los ejemplos y lo “ideal” es dejar cierto espacio entre los puntos y no intentar pasar entre estos. Pues en el momento que se traza cierta curva entre dos puntos se premia pasar por estos y por lo tanto esta por todas las otras posibles curvas que se hubieran podido trazar (es decir, los puntos restantes posibles entre esos dos puntos). Sesgando en el proceso la opción de dejar un poco de margen a la opción de que hubiera otros puntos que definieran más bien (junto con los otros puntos) que curva trazar. Por lo que, en el ejemplo dado, realmente el sesgo parece correcto (es decir, es reducido) pues no intenta pasar por todos los puntos, pero por algún motivo se decide usar un modelo con muy poca varianza por lo qué no llega a resultar útil. Tanto el sesgo como la varianza en esta explicación los estoy considerando como hiperparámetros del modelo (que en el ejemplo con ciertos valores devuelve esa línea horizontal) asumiendo que fue creado con la intención de ajustarse a los puntos (más o menos), es decir, en función de estos hiperparámetros.  Comparto un enlace que habla sobre los datos: ""},{""text"":""https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-554X2008000200004"",""link"":{""linkUrl"":""https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-554X2008000200004""}},{""text"":""@@caracruz13"",""mention"":{""externalChannelId"":""UCsEY6deWp9U87T7Xcawn2Lw""}}"
UgxJRMlt8ylhMmM8VVF4AaABAg,UCuT0aX5yMtR_AcWZzakuAxQ,2023-09-19T00:01:48.983069+00:00,0,,S4mqXsrwvh0,"{""text"":""Lo he probado con los vivo Wireless Sport y ha funcionado - me ha funcionado espectacular usando un zepillo de dientes.""}"
UgxlA2twwl2Jdc3TdcF4AaABAg,UCuT0aX5yMtR_AcWZzakuAxQ,2023-09-14T01:54:32.741526+00:00,0,,Ds9kYWYF8jo,"{""text"":""Diría que la respuesta a la pregunta cinco \""The fit line and data in the figure exhibits which pattern?\"" era \""high bias, low variance\"".""}"
UgxcMEH_6565DiCp7TB4AaABAg,UCuT0aX5yMtR_AcWZzakuAxQ,2023-08-23T18:47:05.09198+00:00,0,,zwks_B8XrzA,"{""text"":""muchas gracias por este contenido""}"
Ugy4vtF0iSVclm0wuip4AaABAg,UCuT0aX5yMtR_AcWZzakuAxQ,2023-08-23T18:02:55.876485+00:00,0,,XOkWZ8YTgFw,"{""text"":""Buenas,""},{""text"":""\n""},{""text"":""\n""},{""text"":""He estado revisando los vídeos que están subidos en la página web y he visto que el vídeo asociado a \""10. Acciones de grupos y cubrientes.\"" del tema \""Espacios cubrientes\"" aparece como no disponible, ¿se encuentra en otra parte?""}"
UgyL-m9QCDmjtohK8GN4AaABAg.8fadJztfGEy9pRL8nqgMFw,UCuT0aX5yMtR_AcWZzakuAxQ,2023-05-08T02:54:38.945522+00:00,0,UgyL-m9QCDmjtohK8GN4AaABAg,Nb6IDkZgpqU,"{""text"":""@@Kilinkar"",""mention"":{""externalChannelId"":""UCxDaP3g_BIG2xAMiH9Wn3Rw""}},{""text"":"" Et recomano que miris l'anime \""Monster\"" amb castellà.""}"
Ugx7dpxlLDMifw6JKat4AaABAg.9lOM-5V3hn29p0ZO-wj6uA,UCuT0aX5yMtR_AcWZzakuAxQ,2023-04-27T17:19:33.90403+00:00,0,Ugx7dpxlLDMifw6JKat4AaABAg,Q7oU7G3NKTU,"{""text"":""QuantumX Glap""}"
UgxT6W0CgD6Uzj2Ep3R4AaABAg.9gfp2t3pCtl9k-jflaqAU1,UCuT0aX5yMtR_AcWZzakuAxQ,2022-12-24T03:02:02.062503+00:00,0,UgxT6W0CgD6Uzj2Ep3R4AaABAg,hWE7QH4ocRM,"{""text"":""Es la primera asignatura que comenta en la sección \""Mejores asignaturas\"", concretamente a partir del minuto ""},{""text"":""3:45"",""videoLink"":{""externalVideoId"":""hWE7QH4ocRM"",""startTimeSeconds"":225}},{""text"":"".""}"
Ugyw6Czjb6quLEgCcnp4AaABAg.9jAywX4OsjV9jK00gHT3e6,UCuT0aX5yMtR_AcWZzakuAxQ,2022-12-07T03:26:59.589695+00:00,0,Ugyw6Czjb6quLEgCcnp4AaABAg,yl6V3gbZrNg,"{""text"":""He coincidido con diversas personas del máster tanto en asignaturas complementarias como algunas que no lo son - lo digo porqué yo soy del grado. La experiencia es buena, pero como bien dice tienes que elegir el número de asignaturas en función de tu situacion y implicarte con estas. Considero que los apuntes y trabajos son buenos - y extensos -, pero requiere dedicación para poder asimilarlos. También es interesante mencionar que tanto en el grado como en el máster se da acceso a otras páginas con cursos y libros muy buenos.""}"





